date,symbol,action,qty,price,pnl,reason,stop_price,take_price,confidence,buy_signals,sell_signals,rsi,ma_short,ma_long,macd,macd_signal,trend,atr,macd_hist,macd_hist_prev,entry_price,entry_date
2018-06-21,BANE,BUY,1,2269.0,0.0,signal,2171.8571428571427,2414.714285714286,0.8,1,0,59.85037406483791,2202.2,2232.28,-17.84194328123658,-22.743218922481155,sideways,48.57142857142857,4.901275641244574,-2.661718968655716,,
2018-06-22,BANE,SELL,1,2171.8571428571427,-97.14285714285734,stop_loss,2171.8571428571427,2414.714285714286,0.0,0,1,43.54838709677419,2197.8,2231.6,-20.246062964475186,-22.243787730879962,,,1.997724766404776,4.901275641244574,2269.0,2018-06-21
2018-10-04,BANE,BUY,1,1984.0,0.0,signal,1915.5714285714287,2086.6428571428573,0.7999999999999999,1,0,42.99065420560748,1990.0,1989.9,-5.282664405337982,-5.61142394401104,sideways,34.214285714285715,0.32875953867305796,-0.2423437185449293,,
2018-10-05,BANE,SELL,1,1971.0,-13.0,signal,1915.5714285714287,2086.6428571428573,0.7,0,3,40.888888888888886,1988.85,1989.32,-5.747660782431922,-5.638671311695217,,,-0.10898947073670495,0.32875953867305796,1984.0,2018-10-04
2018-12-03,BANE,BUY,1,1957.0,0.0,signal,1900.857142857143,2041.2142857142858,0.65,1,0,52.631578947368425,1948.65,1953.0,-4.689615383933415,-5.912999341254994,sideways,28.071428571428573,1.2233839573215795,-0.5922163253734496,,
2018-12-13,BANE,SELL,1,1922.0,-35.0,signal,1912.142857142857,2041.2142857142858,0.6,0,3,49.18032786885246,1942.5,1949.26,-3.184898342039105,-1.9744176909357953,,,-1.2104806511033097,0.22454976544673566,1957.0,2018-12-03
2019-01-31,BANE,BUY,1,1938.0,0.0,signal,1889.142857142857,2011.2857142857142,0.6699999999999999,2,0,52.51798561151079,1922.45,1919.92,6.694294858268904,5.007482937213101,up,24.428571428571427,1.6868119210558028,1.7698394286321983,,
2019-02-08,BANE,SELL,1,1918.5,-19.5,stop_loss,1918.5,2011.2857142857142,0.54,2,0,50.0,1939.075,1923.51,12.156758498548243,9.63975252807299,,,2.517005970475253,3.4384078158399873,1938.0,2019-01-31
2019-03-18,BANE,BUY,1,1950.5,0.0,signal,1903.7142857142858,2020.6785714285713,0.64,1,0,37.5,1963.525,1948.32,0.685768692735337,4.54645579043398,up,23.392857142857142,-3.8606870976986434,-3.9214017478705454,,
2019-04-22,BANE,SELL,1,2020.6785714285713,70.17857142857133,take_profit,1987.0,2020.6785714285713,1.0,0,2,71.57894736842105,1980.8,1969.71,11.387497837226874,6.931458347276607,,,4.4560394899502676,2.1412473428255856,1950.5,2019-03-18
2019-04-25,BANE,BUY,1,2039.0,0.0,signal,1981.7142857142858,2124.9285714285716,0.69,2,0,64.12429378531074,1994.25,1975.44,20.712182618778343,12.937900762692006,up,28.642857142857142,7.774281856086336,9.045925583314226,,
2019-04-26,BANE,SELL,1,2070.0,31.0,signal,2009.2142857142858,2124.9285714285716,1.0,0,2,72.97979797979798,1999.75,1977.81,23.47551914910082,15.04542443997377,,,8.430094709127049,7.774281856086336,2039.0,2019-04-25
